,name,categories,address,cc,city,country,crossStreet,distance,formattedAddress,labeledLatLngs,lat,lng,state,id
1,Masuya,Japanese Restaurant,"Lower Level, 12-14 O'Connell St.",AU,Sydney,Australia,,6,"[""Lower Level, 12-14 O'Connell St."", 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.86518818447266, 'lng': 151.20985961136435}]",-33.86518818447266,151.20985961136435,NSW,4b16211bf964a52019b723e3
2,Roll'd,Vietnamese Restaurant,10 Spring St,AU,Sydney,Australia,,4,"['10 Spring St', 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.86517489686627, 'lng': 151.2098684694006}]",-33.86517489686627,151.2098684694006,NSW,55668e58498efa7eb3f05734
3,O'Connell St Medical Centre,Doctor's Office,"Mezzanine, 12 O'Connell Street",AU,Sydney,Australia,,6,"[""Mezzanine, 12 O'Connell Street"", 'Sydney NSW', 'Australia']","[{'label': 'display', 'lat': -33.865119, 'lng': 151.209961}]",-33.865119,151.209961,NSW,55d556da498ee25b6addd03f
4,D&S Dental,Dentist's Office,12 O'connell Street,AU,Sydney,Australia,Hunter Street,46,"[""12 O'connell Street (Hunter Street)"", 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.86526648244712, 'lng': 151.20941519737244}]",-33.86526648244712,151.20941519737244,NSW,4f950d7cbe776df060d52019
5,Detail For Men,Salon / Barbershop,"Level 1, 8 Spring St",AU,Sydney,Australia,at Bent St,22,"['Level 1, 8 Spring St (at Bent St)', 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.865129544375044, 'lng': 151.21014507168755}]",-33.865129544375044,151.21014507168755,NSW,4bdba9252a3a0f47fc53b0b6
6,O'Connell Street Cafe,Café,17 O'Connell St,AU,Sydney City Center,Australia,,3,"[""17 O'Connell St"", 'Sydney City Center NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.86516960251676, 'lng': 151.20987442991742}]",-33.86516960251676,151.20987442991742,NSW,52dda6db498e410fba213b19
7,Malay Chinese,Malay Restaurant,"Shop 1, 50-58 Hunter St",AU,Sydney,Australia,btwn O'Connell & Bligh St,103,"[""Shop 1, 50-58 Hunter St (btwn O'Connell & Bligh St)"", 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.86605157704083, 'lng': 151.20968030029948}]",-33.86605157704083,151.20968030029948,NSW,4b1480ebf964a520f9a323e3
8,G.A Zink & Sons,Men's Store,O'Connell Street,AU,Sydney,Australia,,6,"[""O'Connell Street"", 'Sydney NSW', 'Australia']","[{'label': 'display', 'lat': -33.865106, 'lng': 151.209952}]",-33.865106,151.209952,NSW,4f4af093e4b05ebee224bf84
9,The Carter,Beer Bar,10 O'Connell St,AU,Sydney,Australia,,19,"[""10 O'Connell St"", 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.86528057185353, 'lng': 151.2097638220008}]",-33.86528057185353,151.2097638220008,NSW,58c10df893eaf803489d6abf
10,Balcón by tapavino,Spanish Restaurant,17 Bligh St,AU,Sydney,Australia,,38,"['17 Bligh St', 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.864954703021134, 'lng': 151.2102522813219}]",-33.864954703021134,151.2102522813219,NSW,578f3cf6cd109e0f7f514a4d
11,UNSW CBD Campus,University,"Level 6, 1 O'Connell St",AU,Sydney,Australia,Spring St,83,"[""Level 6, 1 O'Connell St (Spring St)"", 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.864516805817715, 'lng': 151.21039278285127}]",-33.864516805817715,151.21039278285127,NSW,4b94a965f964a520e97f34e3
12,Bavarian Bier Cafe,German Restaurant,16 O'Connell St.,AU,Sydney,Australia,,32,"[""16 O'Connell St."", 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.86535802866369, 'lng': 151.20966251713688}]",-33.86535802866369,151.20966251713688,NSW,4b173566f964a520c8c323e3
13,Radisson Blu Plaza Hotel,Hotel,27 O'Connell Street,AU,Sydney,Australia,Pitt St.,74,"[""27 O'Connell Street (Pitt St.)"", 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.8653588, 'lng': 151.2091363}]",-33.8653588,151.2091363,NSW,4b05875df964a520d18d22e3
14,Wintergarden Deli,Deli / Bodega,1 O'Connell St,AU,Sydney,Australia,,46,"[""1 O'Connell St"", 'Sydney NSW', 'Australia']","[{'label': 'display', 'lat': -33.864743145946015, 'lng': 151.20975147555976}]",-33.864743145946015,151.20975147555976,NSW,4b996d08f964a520a87a35e3
15,Maxwell's Cafe Bar Espresso,Coffee Shop,7 Spring St.,AU,Sydney,Australia,,98,"['7 Spring St.', 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.86461920105295, 'lng': 151.20904438329472}]",-33.86461920105295,151.20904438329472,NSW,4bd97240cc5b9521314ef24f
16,Radisson Health Club & Spa,Gym / Fitness Center,27 O'Connell Street,AU,Sydney,Australia,Radisson Blu Plaza Hotel Sydney,88,"[""27 O'Connell Street (Radisson Blu Plaza Hotel Sydney)"", 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.86559745613321, 'lng': 151.20911768075243}]",-33.86559745613321,151.20911768075243,NSW,4d152802bb64224be1a0b265
17,The Porter,Club House,1 O'Connell St,AU,Sydney,Australia,,60,"[""1 O'Connell St"", 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.86460194416232, 'lng': 151.20983720700977}]",-33.86460194416232,151.20983720700977,NSW,53bcf4e3498e88796c61da34
18,Bar Pho,Vietnamese Restaurant,Wintergarden Plaza,AU,Sydney,Australia,1 O'Connell St.,55,"[""Wintergarden Plaza (1 O'Connell St.)"", 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.86470414284409, 'lng': 151.21017981827669}]",-33.86470414284409,151.21017981827669,NSW,5614b48d498ea3525f672509
19,Bowery Lane,Café,"Shop 1, Level 4, 1 O'Connell St.",AU,Sydney,Australia,,24,"[""Shop 1, Level 4, 1 O'Connell St."", 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.86498918626203, 'lng': 151.21008469396924}]",-33.86498918626203,151.21008469396924,NSW,53dac5cf498e64aee9e6e705
20,Gus Stop Coffee,Coffee Shop,"Forecourt, 25 Bligh St",AU,Sydney,Australia,Sofitel Phillip St Entry,88,"['Forecourt, 25 Bligh St (Sofitel Phillip St Entry)', 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.86580344854611, 'lng': 151.2104291467155}]",-33.86580344854611,151.2104291467155,NSW,4bb40f6d643cd13acd65395c
21,Next Level Escape,Recreation Center,"LG, 23 O’Connell Street",AU,Sydney,Australia,,99,"['LG, 23 O’Connell Street', 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.866035, 'lng': 151.20995}]",-33.866035,151.20995,NSW,5ab709f1b1ec136b2c306fd7
22,Swiss Concept,Jewelry Store,,AU,Sydney,Australia,,53,"['Sydney NSW', 'Australia']","[{'label': 'display', 'lat': -33.86497702211933, 'lng': 151.20935341177758}]",-33.86497702211933,151.20935341177758,NSW,50bedc5de4b07ff47133fe1d
23,SkinDNA Clinic,Spa,"Level 6, 12 O'connell Street, Sydney 2000.",AU,Sydney,Australia,,5,"[""Level 6, 12 O'connell Street, Sydney 2000."", 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.865161, 'lng': 151.209843}]",-33.865161,151.209843,NSW,5346347f498e2e80a4cdda43
24,Janus Cafe,Café,1 Bligh St.,AU,Sydney,Australia,,84,"['1 Bligh St.', 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.864975216936166, 'lng': 151.21079341840303}]",-33.864975216936166,151.21079341840303,NSW,4e1b83bf483bf2b0dbb14b2e
25,Celestial Chinese Restaurant,Chinese Restaurant,15 Bligh Street,AU,Sydney,Australia,,46,"['15 Bligh Street', 'Sydney NSW', 'Australia']","[{'label': 'display', 'lat': -33.865383181400865, 'lng': 151.21031531198494}]",-33.865383181400865,151.21031531198494,NSW,52f721b311d2a99dc75bf860
26,Wink Hair,Cosmetics Shop,4/50 Hunter St,AU,Sydney,Australia,,89,"['4/50 Hunter St', 'Sydney NSW', 'Australia']","[{'label': 'display', 'lat': -33.86595025354317, 'lng': 151.20992258279236}]",-33.86595025354317,151.20992258279236,NSW,4bce420e68f976b07ccd6583
27,Oporto,Fried Chicken Joint,"Wintergarden Shopping Centre, Lv l 3",AU,Sydney,Australia,1 O'Connell St,97,"[""Wintergarden Shopping Centre, Lv l 3 (1 O'Connell St)"", 'Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.86436609154736, 'lng': 151.21039499628776}]",-33.86436609154736,151.21039499628776,NSW,4c031cbf187ec928f94ab57b
28,Crema At The Garden,Café,,AU,Sydney,Australia,,81,"['Sydney NSW 2000', 'Australia']","[{'label': 'display', 'lat': -33.864492, 'lng': 151.210299}]",-33.864492,151.210299,NSW,5a960a319f8a9f163064c9ee
